creator,country of citizenship,educated at,ethnic group,place of birth,place of burial,place of death,sex or gender,fonte_educated_at,confianca_educated_at,observacoes_pesquisa,batch_origem,fonte_place_of_birth,confianca_place_of_birth,acervo,source,onde estudou,nome da escola,datas em que estudou,fonte_onde_estudou,fonte_nome_escola,fonte_datas_estudo,confianca_preenchimento,museum_json,lat_birth,lon_birth,score_birth,lat_death,lon_death,score_death
Josef Albers,Germany,"Academy of Fine Arts, Munich",,Bottrop,Orange Center Cemetery,New Haven,male,,,formação artística e de professor antes da entrada no Bauhaus,,,,MAC; outros,MAC; outros,"Berlim, Alemanha; Essen, Alemanha; Munique, Alemanha; Weimar, Alemanha","Königliche Kunstschule; Kunstgewerbschule; Royal Academy of Fine Arts, Munich; Bauhaus",1913–1915; 1916–1919; 1919–1920; 1920,https://bauhauskooperation.com/wissen/das-bauhaus/koepfe/biografien/biografie-detail/person-12,https://bauhauskooperation.com/wissen/das-bauhaus/koepfe/biografien/biografie-detail/person-12,https://bauhauskooperation.com/wissen/das-bauhaus/koepfe/biografien/biografie-detail/person-12,alta,MAC USP,51.523693999,6.929939,100.0,41.3082517,-72.9241605,100.0
Josef Myszkowski,,,,,,,,,,,,,,MAC,MAC,,,,,,,,,,,,,,
Josely Carvalho,Brazil,,,São Paulo,,,female,,,,,,,MAC,MAC,,,,,,,,,-23.5486657,-46.6382522,100.0,,,
Joseph Beuys,Germany,Freiherr-vom-Stein-Gymnasium,,Krefeld,North Sea,Düsseldorf,male,,,,,,,MAC,MAC,,,,,,,,,51.332636999,6.560890001,100.0,51.224219999,6.780068,100.0
José Alberto Nemer,,,,,,,male,,,,,,,MAC,MAC,,,,,,,,,,,,,,
José Antonio Castillo,Mexico,,,,,,male,,,,,,,MAC,MAC,,,,,,,,,,,,,,
José Antônio da Silva,Brazil,,,Sales Oliveira,,São Paulo,male,,,artista autodidata; sem escola formal localizada,,,,MAC; outros,MAC; outros,"São José do Rio Preto, Brasil",,c. 1940s,Enciclopédia Itaú Cultural / fontes biográficas,Enciclopédia Itaú Cultural / fontes biográficas,Enciclopédia Itaú Cultural / fontes biográficas,media,MAC USP,-20.7700793,-47.8407277,100.0,-23.5486657,-46.6382522,100.0
José Antônio Van Acker,Brazil,,,,,,male,,,,,,,MAC,MAC,,,,,,,,,,,,,,
José Assumpção Souza,,,,,,,,,,,,,,MAC,MAC,,,,,,,,,,,,,,
José Carlos Martinat,Peru,,,,,,male,,,datas aproximadas,,,,MAC; outros,MAC; outros,"Lima, Peru",Pontificia Universidad Católica del Perú,1990s,fontes biográficas de referência,fontes biográficas de referência,fontes biográficas de referência,media,MAC USP,,,,,,
