creator,country of citizenship,educated at,ethnic group,place of birth,place of burial,place of death,sex or gender,fonte_educated_at,confianca_educated_at,observacoes_pesquisa,batch_origem,fonte_place_of_birth,confianca_place_of_birth,acervo,source,onde estudou,nome da escola,datas em que estudou,fonte_onde_estudou,fonte_nome_escola,fonte_datas_estudo,confianca_preenchimento,museum_json,lat_birth,lon_birth,score_birth,lat_death,lon_death,score_death
Adrian Dexter,,European Film College | The Animation Workshop,,,,,male,Animafest (biografia do autor),médio,,nova_tentativa_01; place_of_birth_lote_01; place_of_birth_lote_09,,,FILE,FILE,,,,,,,,,,,,,,
Alejandro Casales,Mexico,"Escuela Nacional de Música, Universidad Nacional Autónoma de México | Escuela Nacional de Pintura, Escultura y Grabado ""La Esmeralda""",,"Mexico City, Mexico",,Axochiapan,male,FILE Festival,médio,,16; place_of_birth_lote_02,site oficial do artista,alto,FILE,FILE,,,,,,,,,19.430457906,-99.141684761,100.0,18.525238962,-98.752114012,100.0
Amy Karle,United States,Alfred University | Cornell University,,"New York, USA",,,female,American Arts Incubator,médio,,19; place_of_birth_lote_02,Wikipedia / AMEI Magazine,médio,FILE,FILE,,,,,,,,,40.7130466,-74.0072301,100.0,,,
Andreas Lutz,Germany,Offenburg University of Applied Sciences,,"Freiburg im Breisgau, Germany",,,male,CURRENTS New Media,médio,,6; place_of_birth_lote_02,CV oficial / Wikipedia,alto,FILE,FILE,,,,,,,,,47.994785999,7.849876999,100.0,,,
Beat Suter,Switzerland,University of Zurich,,"Baden, Switzerland",,,male,Zurich University of the Arts (ZHdK),alto,,6; place_of_birth_lote_01,Kunstradio / Literaturhaus Graz,alto,FILE,FILE,,,,,,,,,47.465543336,8.288254058,100.0,,,
Bego M Santiago,Spain,Technical University of Valencia,,"Santiago de Compostela, Spain",,,female,,,,place_of_birth_lote_02,Wikipedia (gl) / FIC KAKV,médio,FILE,FILE,,,,,,,,,42.8806228,-8.5466071,100.0,,,
Ben Chang,United States,Walsh School of Foreign Service,,,,,male,,,,place_of_birth_lote_01; place_of_birth_lote_09,,,FILE,FILE,,,,,,,,,,,,,,
Bjørn Svin,Kingdom of Denmark,,,"Ringsted, Denmark",,,male,,,,nova_tentativa_01; lote_21; lote_30; place_of_birth_lote_01,Discogs / Wikipedia (fontes convergentes),médio,FILE,FILE,,,,,,,,,55.457294990286,11.817460156874,100.0,,,
Bo Mathorne,Kingdom of Denmark,The Drawing Academy | The Animation Workshop,,Denmark,,,male,FILE Festival (biografia do artista),médio,,2; place_of_birth_lote_01,FILE Festival (biografia do artista),alto,FILE,FILE,,,,,,,,,55.959300779,10.053934054,100.0,,,
Boris Labbé,France,École Supérieure d’Art et de Céramique de Tarbes | EMCA École des Métiers du Cinéma d’Animation,,"Lannemezan, France",,,male,Cinemambiente | Expanded Animation,médio,,10; place_of_birth_lote_01,Semaine de la Critique / Media Art Festival,alto,FILE,FILE,,,,,,,,,43.125425768,0.384017969,100.0,,,
Boris Seewald,Germany,Filmarche | Berlin University,,,,,male,Numeridanse,médio,,18; place_of_birth_lote_01; place_of_birth_lote_09,,,FILE,FILE,,,,,,,,,,,,,,
Brandon Blommaert,Canada,Alberta College of Art and Design,,"Edmonton, Alberta, Canada",,,male,FILE Festival,médio,,8; place_of_birth_lote_01,Animafest / FILE Festival,alto,FILE,FILE,,,,,,,,,53.54545,-113.49014,100.0,,,
Camilo Colmenares,Colombia,National University of Colombia | Academy of Media Arts Cologne,,"Bogotá, Colombia",,,male,Animafest | KHM | FILE Festival,médio,,8; place_of_birth_lote_01,ISM ISM ISM / Deutsche Biographie,alto,FILE,FILE,,,,,,,,,4.6068824,-74.071837,100.0,,,
Carlos Franklin,Colombia,Universidad de los Andes | Le Fresnoy - Studio national des arts contemporains,,Colombia,,,male,FMSH | FILE Festival,alto,,10; place_of_birth_lote_01,FMSH / FILE Festival,alto,FILE,FILE,,,,,,,,,3.901115804,-73.075754924,100.0,,,
Christian Larrave,United States,Rhode Island School of Design,,,,,male,FILE Festival (biografia do artista),médio,,2; place_of_birth_lote_01; place_of_birth_lote_09,,,FILE,FILE,,,,,,,,,,,,,,
Clayton Shonkwiler,United States,University of Pennsylvania,,,,,male,,,,place_of_birth_lote_01; place_of_birth_lote_09,,,FILE,FILE,,,,,,,,,,,,,,
Colin Potter,United Kingdom,,,"York, United Kingdom",,,male,,,,nova_tentativa_02; lote_21; lote_30; place_of_birth_lote_02,Musichearts / Last.fm,médio,FILE,FILE,,,,,,,,,53.962026649,-1.083683588,100.0,,,
Cristiano Panepuccia,Italy,,,"Rome, Italy",,,male,,,,nova_tentativa_01; lote_21; lote_30; place_of_birth_lote_01,APOTROPIA / FILE Festival,alto,FILE,FILE,,,,,,,,,41.8905568,12.4942679,100.0,,,
Célia Fernandes,Brazil,"Faculty of Pharmacy, University of Lisbon",,,,,female,,,,place_of_birth_lote_01; place_of_birth_lote_09,,,FILE,FILE,,,,,,,,,,,,,,
Dalia Omran,Egypt,Cairo University Kasr Alainy  Faculty of Medicine,,,,,female,,,,place_of_birth_lote_01; place_of_birth_lote_09,,,FILE,FILE,,,,,,,,,,,,,,
Daniel Barreto,Mexico,Imperial College London,,"Guadalajara, Mexico",,,male,,,,place_of_birth_lote_01,site oficial do artista,alto,FILE,FILE,,,,,,,,,20.674161223,-103.336727247,100.0,,,
Daniel Suljic,Croatia,Academy of Fine Arts in Zagreb | University of Applied Arts Vienna,,"Zagreb, Croatia",,,male,Animafest,médio,,19; place_of_birth_lote_02,Animafest / IMDb,alto,FILE,FILE,,,,,,,,,45.815916177,15.980642745,100.0,,,
David Carson,United Kingdom,San Diego State University,,"Corpus Christi, Texas, USA",,,male,site oficial David Carson Design,alto,,20; place_of_birth_lote_02,Britannica / Wikipedia,alto,FILE,FILE,,,,,,,,,27.796416,-97.404131,100.0,,,
David O'Reilly,Ireland,"Dublin Institute of Art, Design and Technology (DLIADT)",,"Kilkenny, Ireland",,,male,ZKM,médio,,nova_tentativa_01; place_of_birth_lote_02,YveYANG Gallery / Wikipedia,alto,FILE,FILE,,,,,,,,,52.6537443,-7.2479557,100.0,,,
Denys Voloshyn,Ukraine,,,,,,male,,,,nova_tentativa_02; lote_21; lote_30; place_of_birth_lote_01; place_of_birth_lote_09,,,FILE,FILE,,,,,,,,,,,,,,
Dimitri Venkov,Russia,University of Oregon,,"Moscow, Russia",,,male,,,,place_of_birth_lote_02,Triumph Gallery / Kandinsky Prize,alto,FILE,FILE,,,,,,,,,55.7565408,37.6149202,100.0,,,
Dina Velikovskaya,Russia,Moscow State Academic Art School in Memory of 1905 | Gerasimov Institute of Cinematography (VGIK) | High Animation School-Studio SHAR,,"Moscow, Russia",,,female,FILE Festival,médio,,14; place_of_birth_lote_02,site oficial da artista / FILE Festival,alto,FILE,FILE,,,,,,,,,55.7565408,37.6149202,100.0,,,
Emma Vakarelova,Bulgaria,Ilia Petrov National High School of Fine Arts | Estienne School | Royal Academy of Fine Arts | European School of Higher Education in Image (EESI) | La Poudrière,,"Sofia, Bulgaria",,,female,site oficial da artista,médio,,18; place_of_birth_lote_02,site oficial da artista / FILE Festival,alto,FILE,FILE,,,,,,,,,42.6964917,23.3260106,100.0,,,
Faith Holland,United States,Vassar College | School of Visual Arts,,"New York, New York, USA",,,female,Pratt Institute,alto,,18; place_of_birth_lote_02,Microscope Gallery (CV da artista),médio,FILE,FILE,,,,,,,,,40.7130466,-74.0072301,100.0,,,
Fernanda Ramos,,Escola de Comunicações e Artes da Universidade de São Paulo,,,,,,FILE Festival,médio,,20; place_of_birth_lote_01; place_of_birth_lote_09,,,FILE,FILE,,,,,,,,,,,,,,
Francesca Fini,Italy,IED European Institute | Istituto Quasar Design University,,"Rome, Italy",,,female,entrevista VIP - VideoChannel Interview Project,baixo,,18; place_of_birth_lote_01,site oficial da artista,alto,FILE,FILE,,,,,,,,,41.8905568,12.4942679,100.0,,,
Francesca Leoni,Italy,University of North Carolina Wilmington,,Italy,,,female,FILE Festival,médio,,20; place_of_birth_lote_01,FILE Festival / Celeste Network,alto,FILE,FILE,,,,,,,,,42.83333,12.83333,100.0,,,
Hugo de Faucompret,France,Gobelins,,"Normandy, France",,,male,,,,place_of_birth_lote_02,Transmettre le cinéma,alto,FILE,FILE,,,,,,,,,49.120004364,0.111079036,100.0,,,
Håkan Lidbo,Sweden,,,"Malmö, Sweden",,,male,,,,nova_tentativa_02; lote_21; lote_30; place_of_birth_lote_02,Wikipedia / Discogs,médio,FILE,FILE,,,,,,,,,55.6033166,13.0013362,100.0,,,
Isabelle Arvers,France,Institute of Political Studies in Aix-en-Provence | Paris 8 University,,"Paris, France",,,female,biografia oficial / Wikipédia,médio,,19; place_of_birth_lote_01,site oficial da artista / Wikipédia,alto,FILE,FILE,,,,,,,,,48.856372814,2.352529617,100.0,,,
Jake Fried,United States,Rhode Island School of Design (summer classes) | Maryland Institute College of Art | Boston University,,,,,male,LBBOnline (entrevista com o artista),médio,,nova_tentativa_01; place_of_birth_lote_01; place_of_birth_lote_09,,,FILE,FILE,,,,,,,,,,,,,,
Jan Goldfuß,Germany,Bauhaus-University Weimar | Academy of Media Arts Cologne,,"Erlangen, Germany",,,male,FILE Festival | site do artista,médio,,20; place_of_birth_lote_01,site do artista / Frischzelle Festival,alto,FILE,FILE,,,,,,,,,49.595132999,11.00498,100.0,,,
Jeanette Nørgaard,Kingdom of Denmark,The Animation Workshop,,"Struer, Denmark",,,female,DAFilms,médio,,nova_tentativa_01; place_of_birth_lote_01,FILE Festival / Girls in Film,alto,FILE,FILE,,,,,,,,,56.545686523587,8.585619582004,100.0,,,
Jerry Galle,Belgium,KASK School of Arts,,"Antwerp, Belgium",,,male,site oficial do artista,médio,,nova_tentativa_01; place_of_birth_lote_01,NW Aalst / KASK,alto,FILE,FILE,,,,,,,,,51.25942418,4.371799938,100.0,,,
John Barber,United States,Indiana University of Pennsylvania | University of Alabama at Birmingham,,,,,male,CV/website oficial de John F. Barber,média,,nova_tentativa_02; lote_21; lote_30; place_of_birth_lote_01; place_of_birth_lote_09,,,FILE,FILE,,,,,,,,,,,,,,
Jonathan Monaghan,United States,New York Institute of Technology | University of Maryland,,"Rockaway Beach, Queens, New York, USA",,,male,bitforms gallery,médio,,19; place_of_birth_lote_02,Wikipedia / IMDb,médio,FILE,FILE,,,,,,,,,40.576981,-73.851544,100.0,,,
Juan Carlos Vasquez,Colombia,Sibelius Academy | Aalto University | University of Virginia,,"Santiago de Cali, Colombia",,,male,site oficial do artista,alto,,nova_tentativa_01; place_of_birth_lote_02,Wikipedia,médio,FILE,FILE,,,,,,,,,3.4529814,-76.5187809,100.0,,,
Jurgen Trautwein,Germany,University of the Arts Berlin,,"Bruchsal, Germany",,,male,Project Space Byi,médio,,nova_tentativa_01; place_of_birth_lote_01,site oficial do artista / Galerie Marek Kralewski,alto,FILE,FILE,,,,,,,,,49.125784999,8.5977,100.0,,,
Kai Welf Hoyme,Germany,Academy of Media Arts Cologne (KHM) | Ruhr-University of Bochum,,"Mönchengladbach, Germany",,,male,site oficial do artista,alto,,nova_tentativa_01; place_of_birth_lote_01,site oficial do artista / FILE Festival,alto,FILE,FILE,,,,,,,,,51.194472999,6.43161,100.0,,,
Karoline Georges,Canada,Université du Québec à Montréal,,"Montreal, Quebec, Canada",,,female,,,,place_of_birth_lote_02,FILE Festival / Wikipedia,alto,FILE,FILE,,,,,,,,,45.508867,-73.554242,100.0,,,
Katarina Lundquist,Norway,The Animation Workshop,,Norway,,,female,,,,place_of_birth_lote_01,Animafest / FILE Festival,alto,FILE,FILE,,,,,,,,,62.0,10.0,100.0,,,
Kazuhiro Goshima,Japan,Kyoto Institute of Technology,,"Shizuoka Prefecture, Japan",,,male,transmediale,médio,,19; place_of_birth_lote_01,site oficial do artista / FILE Festival,alto,FILE,FILE,,,,,,,,,34.97515624,138.3832445,100.0,,,
Keigo Matsumoto,Japan,University of Tokyo,,,,,male,,,,place_of_birth_lote_02,,,FILE,FILE,,,,,,,,,,,,,,
Kevin Welsh,United States,Savannah College of Art and Design,,,,,male,FILE Festival,médio,,7; place_of_birth_lote_02,,,FILE,FILE,,,,,,,,,,,,,,
Kuesti Fraun,Germany,,,Germany,,,male,,,,nova_tentativa_01; lote_21; lote_30; place_of_birth_lote_02,FilmFreeway / IMDb,médio,FILE,FILE,,,,,,,,,51.110631049,10.392277932,100.0,,,
Lei Han,,Shenzhen University | Memphis College of Art,,,,,,CURRENTS New Media,médio,,18; place_of_birth_lote_02,,,FILE,FILE,,,,,,,,,,,,,,
Liliana Farber,Uruguay,"Parsons School of Design | Hamidrasha School of Art, Beit Berl College | O.R.T. University",,"Montevideo, Uruguay",,,female,NYU The Latinx Project,alto,,2; place_of_birth_lote_02,FILE Festival / site oficial da artista,alto,FILE,FILE,,,,,,,,,-34.9055557,-56.1852505,100.0,,,
Lindsay Grace,United States,Northwestern University School of Engineering | Northwestern University | Boston Security Analysts Society,,,,,male,CV oficial de Lindsay Grace,médio,,18; place_of_birth_lote_02,,,FILE,FILE,,,,,,,,,,,,,,
Lori Malépart-Traversy,Canada,Concordia University,,"Montreal, Canada",,,female,FILE Festival,médio,,20; place_of_birth_lote_02,FILE Festival / Coalition ÉduSex,alto,FILE,FILE,,,,,,,,,45.508867,-73.554242,100.0,,,
Lynn Bianchi,United States,,,"Pittsburgh, Pennsylvania, USA",,,female,,,,nova_tentativa_02; lote_21; lote_30; place_of_birth_lote_02,Dayton Art Institute / Wikipedia,alto,FILE,FILE,,,,,,,,,40.4421676,-79.9949573,100.0,,,
Manuela Naveau,Austria,University of Art and Design Linz,,"Linz, Austria",,,female,CV oficial da artista / University of Art and Design Linz,alto,,2; place_of_birth_lote_02,Kunstuniversität Linz / site oficial,alto,FILE,FILE,,,,,,,,,48.306089,14.2864367,100.0,,,
Marcin Giżycki,Poland,University of Warsaw,,"Warsaw, Poland",,Warsaw,male,,,,place_of_birth_lote_02,Wikipedia / IMDb,médio,FILE,FILE,,,,,,,,,52.229827082,21.011731518,100.0,52.229827082,21.011731518,100.0
Maxim Zhestkov,Russia,Ulyanovsk State University,,"Ulyanovsk, Russia",,,male,FILE Festival | Artsy,médio,,nova_tentativa_02; place_of_birth_lote_02,Wikipedia,médio,FILE,FILE,,,,,,,,,54.3187042,48.3976353,100.0,,,
Merlin Flügel,Germany,University of Art and Design Offenbach,,"Naila, Germany",,,male,FILE Festival,médio,,18; place_of_birth_lote_02,FILE Festival / Folkwang Universität,alto,FILE,FILE,,,,,,,,,50.330342999,11.706880999,100.0,,,
Miao Jing,People's Republic of China,Peking University,,"Chongqing, China",,,male,,,,place_of_birth_lote_02,site oficial do artista / A4 Art Museum,alto,FILE,FILE,,,,,,,,,29.56026,106.55771,100.0,,,
Michael Takeo Magruder,United States,University of Virginia,,United States,,,male,CV oficial / FILE Festival,alto,,19; place_of_birth_lote_03; place_of_birth_lote_09,CV oficial / Ben Uri Research Unit,médio,FILE,FILE,,,,,,,,,39.398703156,-99.41461919,100.0,,,
Miki Del Prete,Italy,,,Bari,,,male,,,,nova_tentativa_02; lote_21; lote_30,,,FILE,FILE,,,,,,,,,41.1259135,16.8721133,100.0,,,
Morehshin Allahyari,Iran,University of Tehran | University of Denver | University of North Texas,Kurds,Tehran,,,female,CV da artista,médio,,19,,,FILE,FILE,,,,,,,,,35.6863968,51.4328575,100.0,,,
Moritz Reichartz,Germany,Academy of Fine Arts Stuttgart,,,,,male,FILE Festival,médio,,20; place_of_birth_lote_03; place_of_birth_lote_09,,,FILE,FILE,,,,,,,,,,,,,,
Nathan Jurevicius,Australia,University of South Australia,,"Bordertown, South Australia, Australia",,,male,entrevista/artigo de perfil (Alison Peters; XLR8R),baixa,,nova_tentativa_02; lote_21; lote_30; place_of_birth_lote_03,AustLit / Vinyl Creep,médio,FILE,FILE,,,,,,,,,-36.310601001,140.773263075,100.0,,,
Nicola Giannini,Italy,University of Pisa,,,,,male,,,,place_of_birth_lote_03; place_of_birth_lote_09,,,FILE,FILE,,,,,,,,,,,,,,
Nikita Diakur,Russia,Royal College of Art,,Russia,,,male,FILE Festival,médio,,18; place_of_birth_lote_03,FILE Festival / Re-Imagine Europe,alto,FILE,FILE,,,,,,,,,61.989526183,96.805371534,100.0,,,
Philipp Artus,Germany,École des Beaux Arts in Nantes | Academy of Media Arts Cologne,,Bremen,,,male,site oficial do artista,alto,,20,,,FILE,FILE,,,,,,,,,53.075605999,8.809338,100.0,,,
Ricardo Dal Farra,Argentina,Université du Québec à Montréal,,Buenos Aires,,,male,Daniel Langlois Foundation,alto,,18,,,FILE,FILE,,,,,,,,,-34.6090264,-58.3732215,100.0,,,
Ricardo de Armas,Argentina,Vicentina de la Torre Arts Academy | Instituto Superior de Arte,,Buenos Aires,,,male,site oficial do artista,médio,,nova_tentativa_01,,,FILE,FILE,,,,,,,,,-34.6090264,-58.3732215,100.0,,,
Rino Stefano Tagliafierro,Italy,"ISIA Urbino | IED – European Institute of Design, Milan",,"Piacenza, Italy",,,male,site oficial do artista,alto,,20; place_of_birth_lote_03; place_of_birth_lote_09,biografia pública / página profissional,médio,FILE,FILE,,,,,,,,,45.0537735,9.6951421,100.0,,,
Robert Becker,,École des arts décoratifs de Strasbourg | Académie Européenne d’Art de Trèves,,"Sarreguemines, Lorraine, France",,,,arts-direct,médio,,nova_tentativa_02; place_of_birth_lote_03; place_of_birth_lote_09,arts-direct.com,médio,FILE,FILE,,,,,,,,,49.109707574,7.070491816,100.0,,,
Rodrigo Rezende,Brazil,Faculdade Impacta de Tecnologia | Universidade Estadual Paulista Júlio de Mesquita Filho (Unesp),,,,,male,site oficial do artista,médio,,2; place_of_birth_lote_03; place_of_birth_lote_09,,,FILE,FILE,,,,,,,,,,,,,,
Rune Spaans,Norway,,,,,,male,,,,nova_tentativa_02; lote_21; lote_30; place_of_birth_lote_03; place_of_birth_lote_09,,,FILE,FILE,,,,,,,,,,,,,,
Samuel Fouracre,United Kingdom,Royal College of Art,,United Kingdom,,,male,FILE Festival,médio,,13; place_of_birth_lote_03,FILE Festival / IMDb,alto,FILE,FILE,,,,,,,,,53.408386605,-1.969559544,100.0,,,
Sangjun Yoo,,University of Ulsan College of Medicine,,"Seoul, South Korea",,,male,,,,place_of_birth_lote_03,about.me / SEA Foundation,médio,FILE,FILE,,,,,,,,,37.566,126.9784,100.0,,,
Shirin Abedinirad,Iran,Shariaty Technical College | Michigan State University,,Tabriz,,,female,FILE Festival | site oficial da artista,alto,,nova_tentativa_02,,,FILE,FILE,,,,,,,,,38.08,46.2919,100.0,,,
Sofia Pashaei,Sweden,The Animation Workshop,,Sweden,,,female,FILE Festival,médio,,13; place_of_birth_lote_03,Willow Art Space,alto,FILE,FILE,,,,,,,,,64.712585547,17.260487956,100.0,,,
Sonia Paço-Rocchia,Canada,Université de Montréal,,Montreal,,,female,,,,,,,FILE,FILE,,,,,,,,,45.508867,-73.554242,100.0,,,
Stefano Delle Monache,Italy,Catholic University of Milan | IUAV University of Venice | Conservatory of Como,,Padua,,,male,FILE Festival,médio,,nova_tentativa_02,,,FILE,FILE,,,,,,,,,45.4095409,11.8765508,100.0,,,
Tamiko Thiel,United States,"Stanford University | Massachusetts Institute of Technology | Academy of Fine Arts, Munich",,Oakland,,,female,CV oficial da artista,alto,,19,,,FILE,FILE,,,,,,,,,37.804828,-122.27248,100.0,,,
Valerie LeBlanc,Canada,Alberta College of Art + Design | School of the Art Institute of Chicago | University of Sydney,,"Halifax, Nova Scotia, Canada",,,female,site da artista | Vtape,médio,,20; place_of_birth_lote_03; place_of_birth_lote_09,site oficial / FILE Festival,médio,FILE,FILE,,,,,,,,,44.648881,-63.575312,100.0,,,
Vera Sebert,Germany,University of Fine Arts Braunschweig | Academy of Fine Arts Vienna,,"Freiburg im Breisgau, Germany",,,female,esc medien kunst labor,alto,,nova_tentativa_02; place_of_birth_lote_03,Arts Foundation BW,alto,FILE,FILE,,,,,,,,,47.994785999,7.849876999,100.0,,,
Yuki Ban,Japan,The University of Tokyo,,,,,male,Universidade de Tóquio (perfil institucional),alto,,2; place_of_birth_lote_03; place_of_birth_lote_09,,,FILE,FILE,,,,,,,,,,,,,,
Yukun Wang,United Kingdom,West China Hospital,,China,,,,,,,place_of_birth_lote_03,SAIC Fashion Show / site pessoal,médio,FILE,FILE,,,,,,,,,36.567348398,103.930027033,100.0,,,
Yōhei Yanase,Japan,Seikei University,,Setagaya,,,male,,,,,,,FILE,FILE,,,,,,,,,35.6465436,139.65322156,100.0,,,
Zeno van den Broek,Kingdom of the Netherlands,TU Delft,,"Rotterdam, Netherlands",,,male,CV oficial do artista,médio,,18; place_of_birth_lote_03,site oficial do artista,alto,FILE,FILE,,,,,,,,,51.918323034,4.493749988,100.0,,,
Zoran Dragelj,Croatia,Emily Carr Institute of Art and Design (ECIAD),,Split,,,male,FILE Festival | bauform.it,médio,,nova_tentativa_02,,,FILE,FILE,,,,,,,,,43.512822779,16.458086061,100.0,,,
A. Bill Miller,United States,University of Wisconsin-Milwaukee,,"Cleveland, Ohio, USA",,,male,University of Wisconsin-Whitewater / Transfer Gallery,médio,,9; place_of_birth_lote_03; place_of_birth_lote_09,dieFirma / Wikipedia,alto,FILE,FILE,,,,,,,,,41.5051414,-81.6914575,100.0,,,
A.L. Crego,Spain,autodidata,,"A Coruña, Spain",,,male,FILE Festival,alto,,nova_tentativa_02; place_of_birth_lote_03; place_of_birth_lote_09,La Voz de Galicia / ARTEINFORMADO,médio,FILE,FILE,,,,,,,,,43.3707332,-8.3958532,100.0,,,
Aaron Bradbury,Republic of Abkhazia,,,,,,male,,,,nova_tentativa_02; lote_21; lote_30; place_of_birth_lote_03; place_of_birth_lote_09,,,FILE,FILE,,,,,,,,,,,,,,
Abe Abraham,United States,"Tisch School of the Arts, New York University",,,,,male,CURRENTS New Media (bio do artista),médio,,1; place_of_birth_lote_03; place_of_birth_lote_09,,,FILE,FILE,,,,,,,,,,,,,,
Adam Martinakis,Poland,"estudou Interior Architecture, Decorative Arts and Industrial Design em Atenas",,"Lubań, Poland",,,male,site oficial do artista,baixo,,19; place_of_birth_lote_03,site oficial do artista,alto,FILE,FILE,,,,,,,,,51.119999978,15.289444427,100.0,,,
Adam Pizurny,Slovakia,,,Slovakia,,,male,,,,nova_tentativa_02; lote_21; lote_30; place_of_birth_lote_03,FILE Festival,alto,FILE,FILE,,,,,,,,,48.708702094,19.487749196,100.0,,,
Adam Winkels,Canada,,,,,,male,,,,nova_tentativa_02; lote_21; lote_30; place_of_birth_lote_03; place_of_birth_lote_09,,,FILE,FILE,,,,,,,,,,,,,,
Adrian Flury,Switzerland,Lucerne University of Applied Sciences and Arts,,"Zug, Switzerland",,,male,videokunst.ch; swissfilms,médio,,1; place_of_birth_lote_03,HSLU / videokunst.ch,alto,FILE,FILE,,,,,,,,,47.177534475,8.508559443,100.0,,,
Adriano Monteiro,Brazil,Universidade Estadual de Campinas,,,,,male,FILE Festival,médio,,14; place_of_birth_lote_03; place_of_birth_lote_09,,,FILE,FILE,,,,,,,,,,,,,,
Adrien Cuvit,France,ARIES School of Graphic and Motion Design,,,,,male,FILE Festival,médio,,10; place_of_birth_lote_03; place_of_birth_lote_09,,,FILE,FILE,,,,,,,,,,,,,,
Adrián Regnier,Mexico,"Escuela Nacional de Escultura, Pintura y Grabado ""La Esmeralda"" | Universidad Veracruzana",,Mexico City,,,male,site oficial do artista; Fundación CERGUI,alto,,1,,,FILE,FILE,,,,,,,,,19.430457906,-99.141684761,100.0,,,
Aggie Pak Yee Lee,Hong Kong,Estonian Academy of Arts,,Hong Kong,,,female,Estonian Academy of Arts | FILE Festival,alto,,9,,,FILE,FILE,,,,,,,,,22.351958323,114.119385987,100.0,,,
Agustín Abreu,Uruguay,Universidad Modelo | University of Texas at El Paso | University of Pittsburgh,,,,,male,ORCID,médio,identificação incompleta; não foi possível desambiguar com segurança,nova_tentativa_02; lote_21; place_of_birth_lote_03; place_of_birth_lote_09,,,FILE,FILE,,,,,,,,Museu da Inconfidência,,,,,,
Aieda Freitas,Brazil,Universidade Municipal de São Caetano do Sul,,,,,female,Lar Galeria | Intercom Sudeste,médio,,nova_tentativa_02; place_of_birth_lote_03; place_of_birth_lote_09,,,FILE,FILE,,,,,,,,,,,,,,
Ailadi,Italy,"Politecnico di Milano | ENSCI, Les Ateliers | Köln International School of Design",,"Italian Alps, Italy",,,female,site oficial da artista,alto,,nova_tentativa_03; place_of_birth_lote_03,Kinomural,médio,FILE,FILE,,,,,,,,,45.013,6.9418,100.0,,,
Akihito Ito,Japan,Nagoya University of Arts | Nagoya City University,,"Nagoya, Japan",,,male,perfil oficial do artista | ISEA Symposium Archives,alto,,10; place_of_birth_lote_05,site oficial (akihitoito.com),alto,FILE,FILE,,,,,,,,,35.18142047,136.90668338,100.0,,,
Alaa Omari,Palestine,American University of Sharjah,,Palestine,,,,American University of Sharjah,alto,,nova_tentativa_03,,,FILE,FILE,,,,,,,,,31.912719787,35.204684057,100.0,,,
Albert Bayona i Fernández,Spain,School of the Circle of Fine Arts,,Lleida,,,male,Wikipedia,baixo,,nova_tentativa_03,,,FILE,FILE,,,,,,,,,41.6141646,0.6258029,100.0,,,
Albert Merino,Spain,University of Barcelona | Kunsthochschule Berlin-Weißensee,,"Barcelona, Spain",,,male,CCCB; WRO Art Center,médio,,1; place_of_birth_lote_05,FILE Festival / CCCB,alto,FILE,FILE,,,,,,,,,41.387917,2.1699187,100.0,,,
Alcindo Da Conceiçao,France,ARIES School of Graphic and Motion Design,,,,,male,FILE Festival,médio,,10; place_of_birth_lote_05; place_of_birth_lote_09,,,FILE,FILE,,,,,,,,,,,,,,
Alejandro Thornton,Argentina,National School of Fine Arts Prilidiano Pueyrredon,,Buenos Aires,,,male,,,,,,,FILE,FILE,,,,,,,,,-34.6090264,-58.3732215,100.0,,,
Alessandra Plaza Saravia,Peru,Pontificia Universidad Católica del Perú | Universität der Künste Berlin,,Lima,,,female,PUCP (perfil docente); Decolonize Modul21,alto,,1,,,FILE,FILE,,,,,,,,,-12.04318,-77.02824,100.0,,,
Alessandro Amaducci,Italy,Università degli Studi di Torino,,"Torino, Italy",,,male,Università degli Studi di Torino,alto,,nova_tentativa_03; place_of_birth_lote_05,site oficial / FILE Festival,alto,FILE,FILE,,,,,,,,,45.0683751,7.6830662,100.0,,,
Alessandro Massobrio,,"Istituto di Musica G. Verdi di Asti | University of Turin | C.I.B.R.A., University of Pavia",,"Torino, Italy",,,male,site oficial do artista | Symby,médio,,nova_tentativa_03; place_of_birth_lote_05,Artribune / Sinewaves,médio,FILE,FILE,,,,,,,,,45.0683751,7.6830662,100.0,,,
Alessio De Vecchi,Italy,Istituto Europeo di Design,,"Milan, Italy",,,male,FILE Festival,médio,,8; place_of_birth_lote_05,FILE Festival / WUF Magazine,alto,FILE,FILE,,,,,,,,,45.4636183,9.1881156,100.0,,,
Alex Moy,United States,DePaul University,,,,,male,FILE Festival,médio,,10; place_of_birth_lote_05,,,FILE,FILE,,,,,,,,,,,,,,
Alexandre Estebanez,United States,,,,,,male,,,,nova_tentativa_03; lote_21; lote_30; place_of_birth_lote_05,,,FILE,FILE,,,,,,,,,,,,,,
Alexandre Veaux,France,Supinfocom – RUBIKA,,,,,male,portfólio oficial do artista; FILE Festival,alto,,1; place_of_birth_lote_05; place_of_birth_lote_02_chatgpt,,,FILE,FILE,,,,,,,,,,,,,,
Alfonso Pretelt,Colombia,University of Barcelona,,"Bogotá, Colombia",,,,site do artista,médio,,nova_tentativa_03; place_of_birth_lote_05,Sonic Matter / Intermediaciones,alto,FILE,FILE,,,,,,,,,4.6068824,-74.071837,100.0,,,
