educated at,coordinate location
Dresden Academy of Fine Arts,"51.05284167,13.74244444"
Dublin Institute of Technology,"53.338611111111,-6.2663888888889"
Duncan of Jordanstone College of Art and Design,"56.4566,-2.9828"
Durham University,"54.775,-1.575"
École cantonale d'art de Lausanne,"46.536742,6.588525"
École d'art de La Chaux-de-Fonds,
École des beaux-arts d'Avignon,
école des beaux-arts de Bordeaux,"44.83111111111111,-0.5611111111111111"
École des Beaux-Arts de Bourges ,
École des beaux-arts de Lille,"50.641831,3.061776"
École des beaux-arts de Marseille,"43.2287,5.43485"
École des Beaux-Arts de Mulhouse ,
École des métiers du cinéma d'animation,"45.655101,0.149439"
École du Louvre,"48.860908055555555,2.330936388888889"
École du Passage ,
École Estienne,"48.83107122055735,2.3519907359189975"
École Georges-Méliès,"48.74245192283895,2.392101897752613"
École nationale supérieure d’art de Paris-Cergy ,
École nationale supérieure de création industrielle,"48.8584,2.3693"
École nationale supérieure des arts appliqués et des métiers d'art,"48.8335,2.2955"
École nationale supérieure des arts décoratifs,
École nationale supérieure des arts visuels de La Cambre,
École nationale supérieure des beaux-arts de Lyon,"45.768055555556,4.8172222222222"
École nationale supérieure des beaux-arts de Toulouse,
École normale supérieure,
École Normale Supérieure de Lyon,"45.729734,4.826875"
École royale des élèves protégés,
École supérieure d'art d'Aix-en-Provence ,
École supérieure d'art du Havre,"49.4974,0.132042"
École supérieure des arts décoratifs de Strasbourg,"48.5825,7.7591"
Edinburgh College of Art,"55.9458,-3.19964"
El Nasr Girls' College,"31.205861111111112,29.92136111111111"
Émile Cohl School,"45.7569,4.8658"
Emilia Romagna Teatro,
Emily Carr University of Art and Design,"49.267735,-123.094129"
Emory University,"33.791111111111,-84.323333333333"
Eötvös Loránd University,"47.4906,19.0585"
Erasmus University Rotterdam,"51.918061111111,4.5258305555556"
ESAG Penninghen,
ESAP Guimarães ,
Escola de Artes Visuais do Parque Lage,
Escola de Belas Artes da Universidade Federal da Bahia,"-12.990785,-38.524427"
Escola de Belas-Artes da Universidade Federal de Minas Gerais,
Escola de Comunicações e Artes da Universidade de São Paulo,"-23.55833333,-46.72694444"
Escola de la Llotja,
Escola de Música e Belas Artes do Paraná,
Escola de Tecnologia Spectaculu ,
Escola do Parque Ltda Me,"-27.59523368,-48.49840981"
Escola Nacional de Belas Artes,"-22.8625055,-43.2256622"
Escola Superior de Belas-Artes de Lisboa,
Escola Superior de Belas-Artes do Porto,
Escuela Internacional de Cine y Televisión,"22.917735,-82.540882"
"Escuela Nacional de Pintura, Escultura y Grabado La Esmeralda","19.35655,-99.14015"
Escuela Superior de Artes de Yucatán,
ESIGELEC,"49.3842,1.07757"
Estonian Academy of Arts,
ETEC Lauro Gomes,"-23.69,-46.54"
Eugeniusz Geppert Academy of Fine Arts,"51.11138889,17.04361111"
European Ceramics Work Center,
European Film College,"56.1937,10.6913"
Faculdade Angel Vianna,"-22.9396151,-43.1805362"
