educated at,coordinate location
"University of Nevada, Reno","39.545833333333,-119.81666666667"
University of North Carolina Wilmington,"34.225833333333334,-77.87333333333333"
University of North Texas,"33.21095,-97.146958333333"
University of Nottingham,"52.93888888888889,-1.1969444444444444"
University of Oregon,"44.044166666667,-123.07583333333"
University of Ottawa,"45.4222,-75.6824"
University of Padua,"45.42,11.87"
University of Palermo,"38.11768,13.370131"
University of Paris 1 Pantheon-Sorbonne,"48.848333,2.343056"
University of Parma,"44.801,10.3251"
University of Patras,"38.286666666667,21.786388888889"
University of Pavia,"45.18675,9.15586"
University of Pennsylvania,"39.95388888888889,-75.19305555555556"
University of Pisa,"43.716508333333,10.398458333333"
University of Pittsburgh,"40.444565,-79.953274"
University of Plymouth,"50.374121,-4.138512"
University of Porto,"41.14666667,-8.61555556"
University of Salzburg,"47.797222222222224,13.048055555555555"
University of São Paulo,"-23.5613991,-46.7307891"
University of South Africa,"-25.767222222222,28.199444444444"
University of South Australia,"-34.9205,138.607"
University of South Wales,"51.47946437141099,-3.1692761684562125"
University of Southern California,"34.021667,-118.285278"
University of Sydney,"-33.8875,151.19"
University of Technology of Compiègne,"49.400272222222,2.799775"
University of Tehran,"35.70333333333333,51.419444444444444"
University of Texas at Dallas,"32.985,-96.75"
University of Texas at El Paso,"31.77,-106.505"
University of the Arts Helsinki,"60.17406,24.9346"
University of the Arts London,"51.5178,-0.116389"
University of the Balearic Islands,"39.63805555555555,2.6480555555555556"
University of the Philippines Diliman,"14.654861111111,121.06446944444"
University of the Republic,
University of the West of England,"51.50021,-2.54749"
University of Thessaly,"39.3576754,22.9484265"
University of Tokyo,"35.71339,139.76232"
University of Tsukuba,"36.10367589575579,140.1020979"
University of Turin,"45.069444444444,7.6888888888889"
University of Ulsan College of Medicine,"35.52,129.429"
University of Vale do Rio dos Sinos,
University of Valparaíso,"-33.0407143,-71.6254608"
University of Vienna,"48.213055555555556,16.35972222222222"
University of Virginia,"38.035555555555554,-78.50333333333333"
University of Wales Trinity Saint David,"51.85865,-4.32798"
University of Warsaw,"52.240280555556,21.019169444444"
University of Washington,"47.65416666666667,-122.30805555555555"
University of West Bohemia,"49.71861111111111,13.35361111111111"
University of Wisconsin–Milwaukee,"43.07503,-87.882915"
University of Wisconsin–Stevens Point,
University of Wollongong,"-34.406166666667,150.87953611111"
University of Wrocław,"51.11361111111111,17.033333333333335"
University of Zurich,"47.374722222222,8.5483333333333"
University Ramon Llull,"41.41158333333333,2.1329166666666666"
Ural State Academy of Architecture and Arts,"56.83989,60.61183"
Utrecht School of the Arts,"52.09303055555556,5.121088888888889"
Utrecht University,"52.085277777777776,5.175"
Utrecht University of the Arts,
Utrecht University of the Arts (HKU),
Vancouver Film School,
Vassar College,"41.686866666667,-73.895188888889"
Vicentina de la Torre Arts Academy ,
Villa Arson,"43.721,7.253"
Vilniaus dizaino ir technologijų kolegija ,
Vilnius Academy of Art,
Vysoká škola múzických umení v Bratislave,
Walsh School of Foreign Service,"38.907222222222,-77.072777777778"
Warsaw University of Technology,"52.220278055556,21.010556111111"
Waseda University,"35.709202777778,139.71933333333"
Weimar Saxon-Grand Ducal Art School,
Weißensee Academy of Art Berlin,"52.5581,13.4393"
Wesleyan University,"41.55562,-72.655844"
West China Hospital,"30.643222,104.061097"
Wimbledon School of Art,"51.41343,-0.211466"
Winchester School of Art,"51.066,-1.309"
Wrexham University,"53.054,-3.006"
Yale University,"41.311111111111,-72.926666666667"
Zurich University of the Arts,"47.38295,8.5358"
